#      x          Cp  
     1.00000    0.20177
     0.99062    0.18212
     0.97870    0.15688
     0.96541    0.13022
     0.95072    0.09988
     0.93479    0.06330
     0.91805    0.01932
     0.90091   -0.02818
     0.88357   -0.04329
     0.86606   -0.04770
     0.84841   -0.05228
     0.83065   -0.05708
     0.81285   -0.06211
     0.79502   -0.06741
     0.77718   -0.07303
     0.75932   -0.07899
     0.74146   -0.08531
     0.72360   -0.09198
     0.70573   -0.09898
     0.68788   -0.10627
     0.67003   -0.11379
     0.65220   -0.12148
     0.63437   -0.12925
     0.61654   -0.13709
     0.59872   -0.14499
     0.58091   -0.15295
     0.56312   -0.16092
     0.54535   -0.16881
     0.52759   -0.17660
     0.50984   -0.18433
     0.49211   -0.19209
     0.47445   -0.19977
     0.45686   -0.20703
     0.43930   -0.21344
     0.42173   -0.21911
     0.40416   -0.22452
     0.38668   -0.23025
     0.36942   -0.23478
     0.35239   -0.23573
     0.33552   -0.23169
     0.31872   -0.22994
     0.30188   -0.23582
     0.28494   -0.25045
     0.26785   -0.26807
     0.25069   -0.28529
     0.23361   -0.30445
     0.21675   -0.32494
     0.20017   -0.34620
     0.18395   -0.36789
     0.16817   -0.38980
     0.15291   -0.41128
     0.13828   -0.43130
     0.12436   -0.44949
     0.11128   -0.46562
     0.09913   -0.47722
     0.08797   -0.48341
     0.07782   -0.48415
     0.06865   -0.47891
     0.06043   -0.46452
     0.05308   -0.44153
     0.04652   -0.41151
     0.04067   -0.37282
     0.03544   -0.32369
     0.03077   -0.26532
     0.02657   -0.19919
     0.02281   -0.12291
     0.01944   -0.03682
     0.01642    0.05706
     0.01373    0.15816
     0.01134    0.26517
     0.00922    0.37645
     0.00735    0.49000
     0.00569    0.60124
     0.00425    0.70396
     0.00303    0.79562
     0.00202    0.87451
     0.00122    0.93789
     0.00063    0.98182
     0.00023    1.00229
     0.00003    0.99502
     0.00003    0.95843
     0.00023    0.89607
     0.00063    0.81404
     0.00122    0.71681
     0.00202    0.60890
     0.00303    0.49264
     0.00425    0.37005
     0.00569    0.24053
     0.00735    0.10652
     0.00922   -0.02384
     0.01134   -0.14539
     0.01373   -0.25692
     0.01642   -0.35761
     0.01944   -0.44697
     0.02281   -0.52523
     0.02657   -0.59065
     0.03077   -0.64353
     0.03544   -0.68710
     0.04067   -0.71997
     0.04652   -0.74120
     0.05308   -0.75307
     0.06043   -0.75756
     0.06865   -0.75324
     0.07782   -0.73991
     0.08797   -0.72112
     0.09913   -0.69754
     0.11128   -0.66954
     0.12436   -0.63823
     0.13828   -0.60607
     0.15291   -0.57342
     0.16817   -0.54079
     0.18395   -0.50915
     0.20017   -0.47911
     0.21675   -0.45090
     0.23361   -0.42476
     0.25069   -0.40090
     0.26785   -0.37939
     0.28494   -0.35951
     0.30188   -0.34200
     0.31872   -0.32855
     0.33552   -0.32074
     0.35239   -0.31689
     0.36942   -0.31132
     0.38668   -0.30365
     0.40416   -0.29525
     0.42173   -0.28723
     0.43930   -0.27915
     0.45686   -0.27064
     0.47445   -0.26165
     0.49211   -0.25251
     0.50984   -0.24351
     0.52759   -0.23474
     0.54535   -0.22618
     0.56312   -0.21783
     0.58091   -0.20972
     0.59872   -0.20192
     0.61654   -0.19449
     0.63437   -0.18748
     0.65220   -0.18092
     0.67003   -0.17496
     0.68788   -0.17003
     0.70573   -0.14896
     0.72360   -0.12256
     0.74146   -0.09649
     0.75932   -0.07494
     0.77718   -0.05783
     0.79502   -0.04377
     0.81285   -0.03136
     0.83065   -0.01923
     0.84841   -0.00655
     0.86606    0.00717
     0.88357    0.02221
     0.90091    0.03876
     0.91805    0.05712
     0.93479    0.07767
     0.95072    0.10045
     0.96541    0.12515
     0.97870    0.15132
     0.99062    0.17915
     1.00000    0.20177
